review,rating,date,bank,source
"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04,Commercial Bank of Ethiopia,Google Play
Wonderful App ❤️❤️❤️ I love it,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
i like it,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
vary good app,5,2026-05-04,Commercial Bank of Ethiopia,Google Play
nice,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
easy to use but hard to find easily,4,2026-05-03,Commercial Bank of Ethiopia,Google Play
fixed problem,4,2026-05-03,Commercial Bank of Ethiopia,Google Play
በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
best app,5,2026-05-03,Commercial Bank of Ethiopia,Google Play
Good Application,5,2026-05-02,Commercial Bank of Ethiopia,Google Play
Good app,1,2026-05-02,Commercial Bank of Ethiopia,Google Play
መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,4,2026-05-02,Commercial Bank of Ethiopia,Google Play
why it alaways asked me to update every second when I log in.,1,2026-05-01,Commercial Bank of Ethiopia,Google Play
pls update my cbe mobile banking,5,2026-05-01,Commercial Bank of Ethiopia,Google Play
"Easy, secure and user friend",5,2026-05-01,Commercial Bank of Ethiopia,Google Play
hiote tegayede,5,2026-05-01,Commercial Bank of Ethiopia,Google Play
misraqe,1,2026-04-30,Commercial Bank of Ethiopia,Google Play
excellent app,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
usefull app,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
nice bank,4,2026-04-30,Commercial Bank of Ethiopia,Google Play
good 👍,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
it's no functional problem,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
Tamam Yunus Guddata,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
It's not working after the update it doesn't open at all,1,2026-04-30,Commercial Bank of Ethiopia,Google Play
CBE not compare to others,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
nice app thanks,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
Great,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
good service,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
"It is so good,and easy to use.",5,2026-04-28,Commercial Bank of Ethiopia,Google Play
great app,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
update is not downgrade. its literally not working,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
Please consider optimizing the app for Huawei Mobile Services (HMS). It doesn't work after the update.,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
please use the cute ui as a professional developer,3,2026-04-28,Commercial Bank of Ethiopia,Google Play
Daily Of the day Transfer Limit Restriction If there wasn't If it didn't have Very Extremely Happy We would be.,4,2026-04-28,Commercial Bank of Ethiopia,Google Play
Amazing,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
it's better than before,4,2026-04-28,Commercial Bank of Ethiopia,Google Play
worst apk for a big bank,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
doesn't work properly with safaricom network.,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up .",1,2026-04-28,Commercial Bank of Ethiopia,Google Play
