review,rating,date,bank,source
easygoing & Convenient to use.,5,2026-03-29,Commercial Bank of Ethiopia,Google Play
Thank you,5,2026-03-28,Commercial Bank of Ethiopia,Google Play
It charges high amount of service charge.,1,2026-03-28,Commercial Bank of Ethiopia,Google Play
melkam new,4,2026-03-27,Commercial Bank of Ethiopia,Google Play
Very good service all times,5,2026-03-25,Commercial Bank of Ethiopia,Google Play
ohh very useful and easy for use,5,2026-03-25,Commercial Bank of Ethiopia,Google Play
good application,5,2026-03-25,Commercial Bank of Ethiopia,Google Play
it nice and fast but usually it bad the connection by 4g network it still bad,4,2026-03-24,Commercial Bank of Ethiopia,Google Play
not work app,5,2026-03-23,Commercial Bank of Ethiopia,Google Play
nice App,5,2026-03-22,Commercial Bank of Ethiopia,Google Play
CBE is my beast one for any transactions,5,2026-03-22,Commercial Bank of Ethiopia,Google Play
very good,5,2026-03-22,Commercial Bank of Ethiopia,Google Play
I Am Proud Of CBE Period!!!,5,2026-03-22,Commercial Bank of Ethiopia,Google Play
digital banking,5,2026-03-21,Commercial Bank of Ethiopia,Google Play
it is very good service you are giving,5,2026-03-21,Commercial Bank of Ethiopia,Google Play
ps fast and easy,5,2026-03-21,Commercial Bank of Ethiopia,Google Play
nice app for me,3,2026-03-21,Commercial Bank of Ethiopia,Google Play
vibe,4,2026-03-21,Commercial Bank of Ethiopia,Google Play
Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,1,2026-03-21,Commercial Bank of Ethiopia,Google Play
ገላግሌ ብየዋለው ጥድት ያለ አፕ,5,2026-03-20,Commercial Bank of Ethiopia,Google Play
best app i like it,5,2026-03-20,Commercial Bank of Ethiopia,Google Play
it is really very poor application. i've ever experienced.,1,2026-03-20,Commercial Bank of Ethiopia,Google Play
wow ✌️,5,2026-03-19,Commercial Bank of Ethiopia,Google Play
EASY & SIMLPE TO MANIPULATE. COGRATS !!,4,2026-03-19,Commercial Bank of Ethiopia,Google Play
zewediesh,4,2026-03-19,Commercial Bank of Ethiopia,Google Play
Perfect App,5,2026-03-19,Commercial Bank of Ethiopia,Google Play
🆗 g,5,2026-03-19,Commercial Bank of Ethiopia,Google Play
the best app of mobile banking,5,2026-03-18,Commercial Bank of Ethiopia,Google Play
ዝም ብሉ ይዞራል 😡😡😡,3,2026-03-18,Commercial Bank of Ethiopia,Google Play
the bank You can always relay on!,5,2026-03-18,Commercial Bank of Ethiopia,Google Play
"Why does this welcome notification appear every time the app is opened? It doesn’t add value in its current form, so please consider removing it. Alternatively, you could adjust it to appear only occasionally.",4,2026-03-17,Commercial Bank of Ethiopia,Google Play
10Q U,5,2026-03-17,Commercial Bank of Ethiopia,Google Play
very interesting,5,2026-03-17,Commercial Bank of Ethiopia,Google Play
"it cant accomidate more than 2 accounts,every time i subscribe for my 3r account it vanish.",3,2026-03-17,Commercial Bank of Ethiopia,Google Play
it's so disgusting my phone is s9+ android of 8/9 and this application still doesn't work for my phone fix it sooner as possible !,1,2026-03-17,Commercial Bank of Ethiopia,Google Play
This app is by far one of the useless apps. It keep on sating can't sync and unable to do transfers. please for God sake fix it,1,2026-03-17,Commercial Bank of Ethiopia,Google Play
ልስን,4,2026-03-17,Commercial Bank of Ethiopia,Google Play
new app,5,2026-03-17,Commercial Bank of Ethiopia,Google Play
it can't showed transaction history perfectly,1,2026-03-16,Commercial Bank of Ethiopia,Google Play
it have to be work on all smart phone ratherthan limitted by version,1,2026-03-16,Commercial Bank of Ethiopia,Google Play
All right 👍,5,2026-03-16,Commercial Bank of Ethiopia,Google Play
you can transfer br,5,2026-03-16,Commercial Bank of Ethiopia,Google Play
well,5,2026-03-16,Commercial Bank of Ethiopia,Google Play
not properly work,2,2026-03-16,Commercial Bank of Ethiopia,Google Play
proud of CBE. CBE is my everyday day choice and confidence.,5,2026-03-15,Commercial Bank of Ethiopia,Google Play
It would be great if you could add tele birr agent to the transfer to wallet.,2,2026-03-15,Commercial Bank of Ethiopia,Google Play
love,5,2026-03-15,Commercial Bank of Ethiopia,Google Play
"To the CBE: I opened my account 8 years ago while working as a government employee in Harerghe. Now I live in Addis Ababa, yet my account has been frozen without any explanation. I contacted nearby branches and even the head office, and all I was told is that I must go to the branch where I originally opened my account-over 400 km away. How is this fair/legal? Expecting a customer to travel over 400km just to reactivate an account is unreasonable and shows a total disregard for customer rights.",3,2026-03-14,Commercial Bank of Ethiopia,Google Play
"it's good, but sometime the app can not be fast and it will need upgraeds.....?",4,2026-03-14,Commercial Bank of Ethiopia,Google Play
I gone to cbe branch more times as I updated or re installed it because it asks verfication no. after reinstallation or updation tis costy for you,4,2026-03-14,Commercial Bank of Ethiopia,Google Play
wonderful Pp,5,2026-03-14,Commercial Bank of Ethiopia,Google Play
l want Mobile banks code,5,2026-03-13,Commercial Bank of Ethiopia,Google Play
My application are not working,5,2026-03-13,Commercial Bank of Ethiopia,Google Play
its good customer support,4,2026-03-13,Commercial Bank of Ethiopia,Google Play
Can't active now,3,2026-03-13,Commercial Bank of Ethiopia,Google Play
this app is really make me excited 😊,5,2026-03-13,Commercial Bank of Ethiopia,Google Play
Easy to use and best way for online transactions in Ethiopia.,4,2026-03-12,Commercial Bank of Ethiopia,Google Play
ቸርነት ገበየሁ,5,2026-03-12,Commercial Bank of Ethiopia,Google Play
"False advertising regarding Virtual Mastercard/Visa 😓😢😓 The latest update claims to support Mastercard and Visa cards, but this is completely false. The features are either missing or do not work at all. It is shameful for a leading bank to mislead its customers with ""new features"" that aren't actually available. Fix the bugs or stop making false promises.",1,2026-03-12,Commercial Bank of Ethiopia,Google Play
thanks for my custom,5,2026-03-12,Commercial Bank of Ethiopia,Google Play
is good always not work not access.,2,2026-03-11,Commercial Bank of Ethiopia,Google Play
perfect 👌,5,2026-03-11,Commercial Bank of Ethiopia,Google Play
Baankiin Daldala Itoophiyaa nuuf qabeenya guddaa tahuu hin dagatinaa Mata duree ykn Handhuura baankii hundaati,5,2026-03-11,Commercial Bank of Ethiopia,Google Play
The worst Application,1,2026-03-10,Commercial Bank of Ethiopia,Google Play
keepup the good work thanks,5,2026-03-10,Commercial Bank of Ethiopia,Google Play
it good,5,2026-03-10,Commercial Bank of Ethiopia,Google Play
loved,5,2026-03-10,Commercial Bank of Ethiopia,Google Play
❤,5,2026-03-10,Commercial Bank of Ethiopia,Google Play
exellent app!!!!!,5,2026-03-09,Commercial Bank of Ethiopia,Google Play
it's good,3,2026-03-09,Commercial Bank of Ethiopia,Google Play
Very Good service,5,2026-03-09,Commercial Bank of Ethiopia,Google Play
The most dictator app in the banking industry. you beg for your own amount.,1,2026-03-09,Commercial Bank of Ethiopia,Google Play
ጥሩ ነው,5,2026-03-08,Commercial Bank of Ethiopia,Google Play
ቀርፋፋ ነዉ,2,2026-03-08,Commercial Bank of Ethiopia,Google Play
their is no option to write the code and it is not functioning and i can't find the setting,1,2026-03-07,Commercial Bank of Ethiopia,Google Play
I like it,4,2026-03-07,Commercial Bank of Ethiopia,Google Play
slowing on connection.,3,2026-03-07,Commercial Bank of Ethiopia,Google Play
please release an app which can work for all android versions.,1,2026-03-07,Commercial Bank of Ethiopia,Google Play
"The previous application is good, but currently, after updating the application, everything is not working properly.",1,2026-03-07,Commercial Bank of Ethiopia,Google Play
first bank itoophiyaa nigd bank,5,2026-03-06,Commercial Bank of Ethiopia,Google Play
heddu gaalatoma,5,2026-03-06,Commercial Bank of Ethiopia,Google Play
"Did you know that if you open and hide your balance amount, it's font size will grow untill you can make it grow anymore because the Eye thingy will disappear (😭😭🫠)",4,2026-03-06,Commercial Bank of Ethiopia,Google Play
this is best app,4,2026-03-06,Commercial Bank of Ethiopia,Google Play
"sometimes it shows ""the app is not configured to the latest"" message. Version 5.2 4",3,2026-03-06,Commercial Bank of Ethiopia,Google Play
"Due to app version is to long ,this app is more lost money for new phone,im sory the new CBE app developper!",1,2026-03-06,Commercial Bank of Ethiopia,Google Play
I am using most of my financial things smoothly.,5,2026-03-05,Commercial Bank of Ethiopia,Google Play
"It is a very cool application, but it requires a lot of network data. It also asks for updates too quickly, and it is not very familiar (user-friendly). It would be good if an Amharic option was included for the USSD menu",4,2026-05-17,Dashen Bank,Google Play
"Misguiding - Claimed anyone can convert ETB to USD for online payments, but not true.",1,2026-05-16,Dashen Bank,Google Play
best app so far. thank you,5,2026-05-15,Dashen Bank,Google Play
Very Annoying App i tried to open virtual bank account with fayda but in the end it says something went wrong i tried so many times it says something went wrong why???fix it quickly for now i give you 1/5👎👎👎,1,2026-05-14,Dashen Bank,Google Play
good app but it was doesnt work other bank transfer and require so many updates why,5,2026-05-14,Dashen Bank,Google Play
"i swear to god , By using this app, I won a Samsung S23 Ultra. Truly, Dashen Bank is one step ahead 👏👏",5,2026-05-14,Dashen Bank,Google Play
good and easier to used,5,2026-05-14,Dashen Bank,Google Play
bad mobile banking at all,1,2026-05-13,Dashen Bank,Google Play
very nice app.,5,2026-05-13,Dashen Bank,Google Play
very difficult app,1,2026-05-13,Dashen Bank,Google Play
"Good app, but debit transactions not allowed Why ?",5,2026-05-13,Dashen Bank,Google Play
"Very bad customer service line. they won't pick up, dialed repeatedly. waited on hold for 20 minutes+. The worst customer service line I have experienced from a big bank.",1,2026-05-12,Dashen Bank,Google Play
The application booting time is so bad..,3,2026-05-12,Dashen Bank,Google Play
excelent,5,2026-05-12,Dashen Bank,Google Play
this app is amaizing,5,2026-05-11,Dashen Bank,Google Play
fast and very easy to use,5,2026-05-11,Dashen Bank,Google Play
good but it takes forever to load,4,2026-05-11,Dashen Bank,Google Play
easy tp use.,5,2026-05-11,Dashen Bank,Google Play
best app i ever seen,5,2026-05-11,Dashen Bank,Google Play
it is best but sometime when I need to sign in it request update,3,2026-05-10,Dashen Bank,Google Play
nice financial app 👌,5,2026-05-10,Dashen Bank,Google Play
it is terrible and shame update request 3 times a month what is the matter with us?,1,2026-05-09,Dashen Bank,Google Play
Dashen super app is the latest mobile banking.,5,2026-05-09,Dashen Bank,Google Play
best but not staple suit and not fast,5,2026-05-09,Dashen Bank,Google Play
appn keessan kun daddafee update gaafata yeroo gootee garuu password block godhaa maallifi,5,2026-05-09,Dashen Bank,Google Play
"Dashen Supper up Dashen Bank ,Always one step ahead!",5,2026-05-08,Dashen Bank,Google Play
top mobile banking app,5,2026-05-08,Dashen Bank,Google Play
Thank you Dashen Bank,5,2026-05-08,Dashen Bank,Google Play
dashin bank one step a head,5,2026-05-08,Dashen Bank,Google Play
The best mobile super app in Ethiopia specifically I like it's User interface(UI),4,2026-05-08,Dashen Bank,Google Play
Best app👍,5,2026-05-04,Dashen Bank,Google Play
yes goode app,5,2026-05-04,Dashen Bank,Google Play
Wrong advertisement! You can't open an account using the app.,1,2026-05-01,Dashen Bank,Google Play
I can't open a bank account It says 'something went wrong',5,2026-04-30,Dashen Bank,Google Play
"👍👍 አሪፍ ነው ""ለአጠቃም ቀላል ምቹ እና አስተማማኝ ነው ተመችቶኛል 💚💛❤️",5,2026-04-30,Dashen Bank,Google Play
no faset dashen bsnk,1,2026-04-29,Dashen Bank,Google Play
it forgets the password in weeks and the biometric password too it says wrong password fix it,1,2026-04-28,Dashen Bank,Google Play
super,5,2026-04-27,Dashen Bank,Google Play
"I can't even get into the app just because my Developer mode setting is turned on? why am I getting this message? I'm never turning it off. bye, what a great app😏, it only lasted 3 minutes on my phone (I uninstalled it).",1,2026-04-26,Dashen Bank,Google Play
wowAmazing Apps,5,2026-04-26,Dashen Bank,Google Play
couldn't open an account onlie. gives me an error repeatedly.,2,2026-04-26,Dashen Bank,Google Play
I think this app is best compared with other Ethiopian mobile banking apps,5,2026-04-25,Dashen Bank,Google Play
wow amazing!!!,5,2026-04-24,Dashen Bank,Google Play
dashen bank super app is incredible !!,3,2026-04-24,Dashen Bank,Google Play
So great easy wonderfully 😍😍😍,5,2026-04-24,Dashen Bank,Google Play
Dashen app is #1,5,2026-04-23,Dashen Bank,Google Play
cool app,3,2026-04-23,Dashen Bank,Google Play
👍,5,2026-04-23,Dashen Bank,Google Play
super app give alot coin when I shake it zero result😃,1,2026-04-23,Dashen Bank,Google Play
I realy appreciate it especially virtual card opportunity go a head!👍👍,5,2026-04-23,Dashen Bank,Google Play
ok👌,5,2026-04-23,Dashen Bank,Google Play
adegn,5,2026-04-23,Dashen Bank,Google Play
app size is small and the app is convenient,5,2026-04-22,Dashen Bank,Google Play
when compared this app to CBE&Awash pro CBE&Awash pro is better and simple for using.,1,2026-04-22,Dashen Bank,Google Play
I used this app always,5,2026-04-22,Dashen Bank,Google Play
good bank Dashen,5,2026-04-22,Dashen Bank,Google Play
Very reliable.,5,2026-04-22,Dashen Bank,Google Play
it is excellent and well securried application for using it.,5,2026-04-19,Dashen Bank,Google Play
The worst mobile banking app ever... I don't think I am ever going to deposit anything from now on if I can't use the app properly. At one point it's working and when you close it and try after 5 minutes it won't even open. A bank this big should be ashamed of not being able to fix it for this long.,1,2026-04-18,Dashen Bank,Google Play
"i am not interested at all the transaction fee , specially i can't make transaction with wallets..........i thought it was cool ....not interested fix everything and also it have long time loading ufffff",2,2026-04-18,Dashen Bank,Google Play
The app is not swift and does not use a fast lightweight connection.,2,2026-04-17,Dashen Bank,Google Play
"I am experiencing a serious issue with the Dashen Super App. I visited a branch and my account was successfully activated. However, shortly after (within about 7 hours), the app started asking me again to visit the branch. In addition, my account balance is not showing even after updating the app, and I can no longer see my account number. This situation is very frustrating, especially after completing the required verification at the branch. The system does not seem stable and it is affecting",1,2026-04-16,Dashen Bank,Google Play
nice but i ask every week to update.,5,2026-04-16,Dashen Bank,Google Play
i have used this app starting from the first date that launched it is interested and easiest app next to tellbirr in my experience,5,2026-04-11,Dashen Bank,Google Play
The worst mobile banking app in Ethiopia🤮🤮🤮,1,2026-04-10,Dashen Bank,Google Play
it is very Exciting app🙏,5,2026-04-09,Dashen Bank,Google Play
Transfer to other bank link is still not working .,5,2026-04-09,Dashen Bank,Google Play
super fast,5,2026-04-08,Dashen Bank,Google Play
👌👌👌👌,5,2026-04-08,Dashen Bank,Google Play
where is the virtual master card you are talking about. are we allowed to have multiple cards since its virtual btw your app is nice,5,2026-04-06,Dashen Bank,Google Play
Why haven’t you fixed this issue 👇 Temporarily Unavailable We're currently updating this service to improve your experience. It will be restored soon. Thank you for your patience,4,2026-04-06,Dashen Bank,Google Play
The Best Bank,5,2026-04-05,Dashen Bank,Google Play
great,5,2026-04-04,Dashen Bank,Google Play
this dashin super app that I don't recommend anyone use it,1,2026-04-04,Dashen Bank,Google Play
በዋይፋይ አይሰራም።,1,2026-04-04,Dashen Bank,Google Play
there is no a system every day,1,2026-04-04,Dashen Bank,Google Play
You talk much more !! Nothing is UNIQUE THAN OTHER APPS!!!,1,2026-04-04,Dashen Bank,Google Play
"The app is grand. but it's missing two things. one is the option to see exchange rates and the other is, when opening the app we would love it if there is the option to input your biometrics directly instead of clicking another button to pop it up.",5,2026-03-31,Dashen Bank,Google Play
i got question why we can't withdraw my remaining 50 birr..... anyother bank let me with draw any amount but dashnbank is kinda of annoying it says it has 50 has to remain are u somekind of theif or tell me how to fix this😡😡,1,2026-03-28,Dashen Bank,Google Play
ምርጥ ነው።,5,2026-03-22,Dashen Bank,Google Play
👍🏿good,5,2026-03-21,Dashen Bank,Google Play
amaizing app,5,2026-03-17,Dashen Bank,Google Play
💯,5,2026-03-17,Dashen Bank,Google Play
best option,5,2026-03-16,Dashen Bank,Google Play
like 🥰,5,2026-03-12,Dashen Bank,Google Play
worst application,1,2026-03-11,Dashen Bank,Google Play
so funy,5,2026-03-08,Dashen Bank,Google Play
Good luck 👍 for my ambition ✔️💯%,4,2026-03-08,Dashen Bank,Google Play
ዳሸን ሱፐር አፕ ይለያል,5,2026-03-07,Dashen Bank,Google Play
ሁሌ አይሰራም መሽከርከር ብቻ ባላንስ አያሳይ ትራንስፈር አይሰራ አፑ ራሱ አይከፍት ብር ይቆርጣል እንጂ አይልክ ። ወሬ ብቻ 4 ወር አየውት ወሬ ቲሽ,1,2026-03-05,Dashen Bank,Google Play
dashen bank super up,5,2026-03-05,Dashen Bank,Google Play
good but not fast,1,2026-03-03,Dashen Bank,Google Play
it works all we need but if there is good internet connection.,3,2026-03-01,Dashen Bank,Google Play
birhanu debebe getahuu,5,2026-02-27,Dashen Bank,Google Play
yes waw,5,2026-02-26,Dashen Bank,Google Play
I use this app it's best,5,2026-02-25,Dashen Bank,Google Play
"What's the problem with VPN?, i use a local VPN and turning that off for this app sucks",1,2026-02-25,Dashen Bank,Google Play
Thank you. Very nice App.,5,2026-02-25,Dashen Bank,Google Play
very important,5,2026-02-23,Dashen Bank,Google Play
"Dashen Bank SuperApp is user‑friendly, fast, and very convenient for daily banking. Transactions are smooth, and the app keeps improving with useful features. A great digital banking experience overall highly recommended.",5,2026-02-23,Dashen Bank,Google Play
Biometrc authentication is not working in this updated version.,3,2026-02-23,Dashen Bank,Google Play
perfect,5,2026-02-21,Dashen Bank,Google Play
One of the best in Ethiopia,5,2026-02-20,Dashen Bank,Google Play
Mostly slow or doesn't open altogether. A clumsy app,2,2026-02-16,Dashen Bank,Google Play
"This is painfully very slow to load, switch between accounts and check balances.",1,2026-02-13,Dashen Bank,Google Play
"the app used to work fine, but the last update ruined something even RTGS transfer isn't working",2,2026-02-10,Dashen Bank,Google Play
The app is good but sometimes it is lagging,4,2026-02-09,Dashen Bank,Google Play
please fix the glitch it has bug,3,2026-02-09,Dashen Bank,Google Play
Problem Everyday! Not even close to other banking apps. Crashing every time and failed to load most of the time!,1,2026-02-09,Dashen Bank,Google Play
This is the worst mobile banking app I've ever used 😡 please improve it.,1,2026-02-07,Dashen Bank,Google Play
The most realistic and modernized financial service in ethiopia i recommend every individual to use this application probably. Always one step ahed 💯,5,2026-02-03,Dashen Bank,Google Play
It's very interesting,5,2026-02-02,Dashen Bank,Google Play
"The most unreliable, frustrating and worst app I have ever used! imagine being in a restaurant and trying paying bills, but not processing! It is the time you will deeply understand what reliability means.",1,2026-02-01,Dashen Bank,Google Play
"the amount of times I have gone to the bank to get this thing working is a lot. on top of that, it stops working on a random day which means another bank visit. found it to be unreliable",1,2026-01-31,Dashen Bank,Google Play
"Disgusting! You can't Buy any goods thinking you will transfer from this app. it is so inconsistent, it is not reliable. The so Called Super app is Super slow. Such a shame! 2/10.",1,2026-01-31,Dashen Bank,Google Play
መልክ ብቻ,1,2026-01-31,Dashen Bank,Google Play
"The app is great but please, please do something with the mini statement and the transactions to CBE 🙏🙏🙏",2,2026-01-31,Dashen Bank,Google Play
please the app is not working properly. fix this problem soon. it's not loading my balance and not able to transfer fund .,3,2026-01-30,Dashen Bank,Google Play
other bank and telebirr didn't work. Niged Bank is much better,1,2026-01-30,Dashen Bank,Google Play
It is so boring.....,1,2026-01-30,Dashen Bank,Google Play
"It is the slowest and most problematic app I have used. The app is often busy and does not open properly. Even when it opens, it fails to display my deposit account balance. I have already updated the app, but the issue is still the same. Dashen, please wake up and fix this.",1,2026-01-30,Dashen Bank,Google Play
stops working when you need it most.... and its on multiple occasions. and they won't even fix it right away.,1,2026-01-30,Dashen Bank,Google Play
"This app is so laggy and unreliable, can't even make transaction to wallet or other bank. I tried to reinstall the app now i can't even login to the app",1,2026-01-30,Dashen Bank,Google Play
yes it's the best app,5,2026-01-29,Dashen Bank,Google Play
please improve the app function on its not working properly,3,2026-01-29,Dashen Bank,Google Play
my dashen is really proud,5,2026-01-24,Dashen Bank,Google Play
the new update asks for a pin again & again its annoying fix it,1,2026-01-24,Dashen Bank,Google Play
the best design speed attractive 😍 i love this app,5,2026-01-21,Dashen Bank,Google Play
Good 👍,5,2026-01-21,Dashen Bank,Google Play
"The user interface and functions are impressive. However, it lags when performing several transactions. It needs attention.",3,2026-01-21,Dashen Bank,Google Play
it's fast and easy,4,2026-01-20,Dashen Bank,Google Play
best in class bank,5,2026-01-20,Dashen Bank,Google Play
Masha Allah this application platform very active and fast so thank you so much future greater than above transaction other customers uster satisfaction regarding to digitalization of Ethiopia 2030 and world 🌎,5,2026-01-19,Dashen Bank,Google Play
worst bank ever ...,1,2026-01-19,Dashen Bank,Google Play
dashen: always one stepbahead!,5,2026-01-17,Dashen Bank,Google Play
higher like the mountain,5,2026-01-16,Dashen Bank,Google Play
verynice app great,5,2026-01-16,Dashen Bank,Google Play
Important App,4,2026-01-16,Dashen Bank,Google Play
please adjust to send to other telebirr wallet,4,2026-01-14,Dashen Bank,Google Play
ባንችአታላይ ቤዛዊ ትሸዊት ዳሽንባንክ,1,2026-01-10,Dashen Bank,Google Play
"Dashen supper app is fast ,secure, user-friendly and reliable app that makes managing my daily transaction .This app gives me total control over my accounts with peace of mind.",5,2026-01-09,Dashen Bank,Google Play
this app good,5,2026-01-09,Dashen Bank,Google Play
The old version was much better than the Super App. The Super App has many issues. You should consider rewarding users who report problems to help improve it and truly make it Super,3,2026-01-08,Dashen Bank,Google Play
THE WORST BANK. THE WORST APP.,1,2026-01-08,Dashen Bank,Google Play
satisfied,4,2026-01-03,Dashen Bank,Google Play
Very bad app I ever saw,1,2026-01-02,Dashen Bank,Google Play
"Very disappointing app. Other bank transfers don’t work at all I keep getting errors. It’s slow, unreliable, and frustrating Please fix this issue until then, I don’t recommend it",1,2025-12-31,Dashen Bank,Google Play
best 👌 app,5,2025-12-30,Dashen Bank,Google Play
"I have been trying repeatedly to send money to my Telebirr wallet and to another account, but your platform completely fails to process the transactions. This has been nothing but a waste of my time and patience. Your system is unreliable and clearly not working as it should. I also contacted your customer service, hoping for support, but they were useless and unprofessional. They showed zero interest in actually solving the problem and offered no meaningful help at all.👎👎👎",1,2025-12-28,Dashen Bank,Google Play
true app,5,2025-12-27,Dashen Bank,Google Play
Waw dashen bank my frist choice 👍👍,5,2025-12-26,Dashen Bank,Google Play
Am satisfied more enough....with Dashen Bank,5,2025-12-26,Dashen Bank,Google Play
it is a pity that this apk is loosing it purpose and focus diverted. this days it is trash. amole is by far better in serving its purpose,1,2025-12-23,Dashen Bank,Google Play
telebirr suparapp,5,2025-12-22,Dashen Bank,Google Play
"the most experienced app, so nice job dashen bank s.c .",5,2025-12-21,Dashen Bank,Google Play
it's good app I liked,5,2025-12-21,Dashen Bank,Google Play
"An interesting app; that is convenient, user friendly, fast & so on... w/c leads the banking services to be digitalized locally and be competitive globally at large. We'r proud of DB!!",5,2025-12-20,Dashen Bank,Google Play
i love dashe supper up. keep up my bank,5,2025-12-19,Dashen Bank,Google Play
goood app,4,2025-12-17,Dashen Bank,Google Play
Nice app.,5,2025-12-17,Dashen Bank,Google Play
dashing bank,5,2025-12-16,Dashen Bank,Google Play
it is amazing app and also secure,5,2025-12-16,Dashen Bank,Google Play
This app is vey impressive,5,2025-12-15,Dashen Bank,Google Play
Great app! Why doesn’t it include digital loan features? Adding this option would be very helpful for customers.,2,2025-12-14,Dashen Bank,Google Play
"Simple, updated and all enclosive so I prefer it🙏",5,2025-12-12,Dashen Bank,Google Play
"great app,thanks dashen",5,2025-12-12,Dashen Bank,Google Play
its good app,5,2025-12-12,Dashen Bank,Google Play
"The UI/UX appears well-designed, but it has some critical issues that need attention, such as the inability to display full transaction histories and the presence of numerous mini-apps within a single card view, making it difficult to locate individual mini-apps easily.",4,2025-12-11,Dashen Bank,Google Play
it is so fantastic and user friendly app. Bravo Dashen bank thanks.,5,2025-12-09,Dashen Bank,Google Play
አፑ ቆንጆ ነው ለምንጅነው አሞሌ ላይ ያሉ እሱ ላይ የሌሉት?,3,2025-12-07,Dashen Bank,Google Play
ilike this app,5,2025-12-07,Dashen Bank,Google Play
it was perfect but sending money to telebirr isn't available,2,2025-12-06,Dashen Bank,Google Play
dashen super app easy to use,5,2025-12-05,Dashen Bank,Google Play
Dashen Bank always one step a head,5,2025-12-05,Dashen Bank,Google Play
Not good,1,2025-12-05,Dashen Bank,Google Play
why you always say update.,5,2025-12-04,Dashen Bank,Google Play
it's very expressive and fast and easy to Use.,5,2025-12-04,Dashen Bank,Google Play
Dashn Bank is fast and easy,5,2025-12-04,Dashen Bank,Google Play
this bank is very nice to me,5,2025-12-04,Dashen Bank,Google Play
it's the best mobile banking app I ever seen,5,2025-12-04,Dashen Bank,Google Play
ምቹ እና ቀላል ምርጥ መተግበሪያ ነው ወድጄዋለሁ ።,5,2025-12-04,Dashen Bank,Google Play
than u,5,2025-12-03,Dashen Bank,Google Play
Interesting App.,5,2025-12-03,Dashen Bank,Google Play
it takes time to login. but after login its good but sometimes unexpected termination occur in which rises untrust to use usually the app. Because of this am forcely using other bank applications.,3,2025-12-03,Dashen Bank,Google Play
good jop,5,2025-12-03,Dashen Bank,Google Play
I always receive excellent service & follow up. they strive to complete customer needs. they always available. I am totally happy with Dashen services given. Thanks. Blessings.,5,2025-12-03,Dashen Bank,Google Play
ፍፁምውርቁያደቴ,5,2025-12-02,Dashen Bank,Google Play
ይህ መተግበሪያ በውስጡ የያዘው አገልግሎት ብጣም ጥሩ ነው ነገር ግን በሁሉም የሞባይል device ላይ ሲጫን እና transaction ስንሰራ በጣም ቀርፍፍ እና እዝጋሚ ነው በትንሽ Network መስራት እንዲችል አድርጋቹህ አበልፅጉት አስተካክሉት (customer),3,2025-12-02,Dashen Bank,Google Play
exelent,5,2025-12-02,Dashen Bank,Google Play
BeREkT,1,2025-12-02,Dashen Bank,Google Play
"the is always under mentenance, or temporarily unavailable and they're adding features no one is looking for at the cost of not being able to use the app in the first place.",1,2025-12-02,Dashen Bank,Google Play
Dashen bank is my first choice it's best bank for me and super app is easy to use anything and it's bery fast.,5,2025-12-02,Dashen Bank,Google Play
"its Good App when we compare to others but when we enter our code,it takes too long to open the apps fix it please",4,2025-12-01,Dashen Bank,Google Play
easy to use and comfortable.,5,2025-12-01,Dashen Bank,Google Play
when u release update its always a problem,5,2025-12-01,Dashen Bank,Google Play
primary choice,5,2025-12-01,Dashen Bank,Google Play
its use friendly,4,2025-12-01,Dashen Bank,Google Play
"The apk need time to open the passward page immediately , and lagging.",1,2025-12-01,Dashen Bank,Google Play
"this app is not good it's, access are limited and u guys are working only on it's graphics we need it for banking activities not for game. make it more active and better its dormant. i don't like it cbe is better than.",1,2025-11-30,Dashen Bank,Google Play
very smart App easy to use and friendly,5,2025-11-29,Dashen Bank,Google Play
Very exemplery App to other Bank Aps !,5,2025-11-29,Dashen Bank,Google Play
It Is An Amazing app,4,2025-11-28,Dashen Bank,Google Play
"its fast and easy to communicate to the app and its available all area keep it up.i will make Happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.",5,2025-11-26,Dashen Bank,Google Play
What do you care about my phone's settings? Who are you to tell me what to turn off and on? It is my phone after all. This *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. Turn this thing off. 6 you fear this is a security issue fix your side not mine.,1,2025-11-25,Dashen Bank,Google Play
Exceptional Product.,5,2025-11-23,Dashen Bank,Google Play
very easy app,3,2025-11-23,Dashen Bank,Google Play
"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!..",5,2025-11-19,Dashen Bank,Google Play
በጣም ፈጣን ሥቹ አስተማማኝ ወድጃዋለው,5,2025-11-18,Dashen Bank,Google Play
"it's a really slow app, I'm not sure what the issue is. Even other bank transfers are not working",2,2025-11-18,Dashen Bank,Google Play
"it say's disable developer option, i disabled it but its not working still",1,2025-11-17,Dashen Bank,Google Play
with the super app evry thing i need is just a tap away,5,2025-11-17,Dashen Bank,Google Play
eyita tips,1,2025-11-15,Dashen Bank,Google Play
clear and presize,5,2025-11-15,Dashen Bank,Google Play
smooth and easy!!!,5,2025-11-14,Dashen Bank,Google Play
